Device,Plant,Truss,Total flowers,Budding,Transition B to O,Open,Closed,Setting,Broken Sets,Treated(Y/N)
A,2,101,26,2,3,3,,18,,
A,2,102,24,6,2,3,,13,,
A,2,103,17,4,3,3,,7,,
A,2,104,17,9,3,3,1,1,,
A,2,201,20,3,,,,16,1,
A,2,202,18,3,1,2,,12,,
A,2,203,15,3,2,2,2,6,,
A,2,204,14,6,3,3,,2,,
A,3,101,17,3,,,,14,,
A,3,102,16,3,,,,13,,
A,3,103,13,2,,1,1,9,,
A,3,104,12,2,2,2,1,5,,
A,3,105,24,14,5,5,,,,
A,3,201,14,2,,,,12,,
A,3,202,15,3,,,,11,1,
A,3,203,13,4,,1,1,7,,
A,3,204,18,8,3,4,2,1,,
A,4,101,21,2,,1,,18,,
A,4,102,20,1,1,3,,15,,
A,4,103,21,6,2,3,,10,,
A,4,104,21,9,3,3,1,5,,
A,4,105,15,8,3,4,,,,
A,4,201,17,4,,,,12,1,
A,4,202,18,2,,2,,14,,
A,4,203,18,5,2,3,,8,,
A,4,204,16,7,3,2,2,2,,
A,5,101,19,1,,,1,16,1,
A,5,102,20,3,,2,,14,1,
A,5,103,17,3,3,1,,10,,
A,5,104,19,8,2,3,1,5,,
A,5,105,14,9,3,2,,,,
A,5,201,34,3,,1,1,29,,
A,5,202,18,3,,1,1,13,,
A,5,203,20,7,3,3,,7,,
A,5,204,19,12,2,4,1,,,
A,6,101,17,3,,,2,12,,
A,6,102,13,4,,,,9,,
A,6,103,13,7,,,1,5,,
A,6,201,26,2,,,1,21,2,
A,6,202,16,4,,,1,10,1,
A,6,203,13,7,,,,6,,
A,6,204,15,10,2,2,1,,,
A,7,101,36,6,1,3,1,25,,
A,7,102,19,3,2,3,1,10,,
A,7,103,15,4,2,3,,6,,
A,7,104,17,10,4,3,,,,
A,7,201,33,7,,,,25,1,
A,7,202,13,4,,,1,8,,
A,7,203,11,6,,,1,4,,
A,8,101,20,2,,1,,15,2,
A,8,102,18,,,2,1,15,,
A,8,103,20,4,2,3,,10,1,
A,8,104,19,7,3,3,1,5,,
A,8,105,14,8,3,3,,,,
A,8,201,19,1,,1,,16,1,
A,8,202,20,3,2,2,,13,,
A,8,203,40,11,7,6,3,13,,
A,8,204,17,8,3,3,1,2,,
A,9,101,8,1,,,1,6,,
A,9,101,7,1,,,,6,,
A,9,102,7,4,,,1,2,,
A,9,102,7,2,,,1,4,,
A,9,103,6,5,1,,,,,
A,9,201,4,,,,,4,,
A,9,201,7,,,,,7,,
A,9,202,7,1,,,2,4,,
A,9,202,7,1,,,,6,,
A,9,203,7,3,,1,3,,,
A,9,203,7,3,1,1,1,1,,
A,10,101,8,,,,3,5,,
A,10,102,8,1,,,5,2,,
A,10,102,6,1,,,,5,,
A,10,103,7,1,1,3,2,,,
A,10,103,7,3,1,1,,2,,
A,10,104,7,4,2,1,,,,
A,10,201,7,,,,1,6,,
A,10,201,7,,,,,7,,
A,10,202,8,,,,4,4,,
A,10,202,8,2,,,1,5,,
A,10,203,7,,2,3,2,,,
A,10,203,5,3,1,1,,,,
A,10,204,8,5,3,,,,,
A,11,101,7,2,,,,5,,
A,11,102,6,5,,,,1,,
A,11,201,7,7,,,,,,
A,11,202,8,4,,,1,3,,
A,11,203,7,7,,,,,,
A,12,101,7,1,,,,6,,
A,12,102,8,2,,1,2,3,,
A,12,103,6,4,1,1,,,,
A,12,201,8,1,,,,7,,
A,12,202,7,1,,,,6,,
A,12,203,6,3,1,,1,1,,
A,13,101,7,2,,,,5,,
A,13,102,7,4,,,1,2,,
A,13,201,8,,,,1,7,,
A,13,202,8,2,,,1,5,,
A,13,203,7,3,2,2,,,,
A,14,101,6,,,,1,5,,
A,14,102,7,,,,,7,,
A,14,103,7,2,,,2,3,,
A,14,201,7,,,,1,6,,
A,14,202,8,2,,,2,4,,
A,14,203,7,4,1,2,,,,
B,1,101,16,2,,,,14,,
B,1,102,16,2,,,1,13,,
B,1,103,16,2,1,3,1,9,,
B,1,104,15,3,3,4,,5,,
B,1,105,14,7,3,3,,1,,
B,1,201,14,3,,,,11,,
B,1,202,27,7,,1,,19,,
B,1,203,16,4,1,1,1,8,1,
B,1,204,14,4,3,2,5,,,
B,2,101,20,4,,,,13,3,
B,2,102,19,3,1,2,,13,,
B,2,103,18,4,3,2,1,8,,
B,2,104,17,7,4,4,,2,,
B,2,201,14,,,,,13,1,
B,2,202,17,4,,1,,12,,
