Device,Plant,Truss,Total flowers,Budding,Transition B to O,Open,Closed,Setting,Treated(Y/N),Difference
E,5,201,10,4,4,2,,,n,0
E,6,101,12,11,1,0,,,n,0
E,6,201,26,16,4,6,,,n,0
E,6,202,14,12,2,0,,,n,0
E,7,101,7,2,2,3,,,n,0
E,7,201,7,6,1,0,,,n,0
E,8,101,7,5,2,0,,,n,0
E,8,201,7,4,3,0,,,n,0
E,9,101,8,6,2,0,,,n,0
F,1,101,41,30,5,0,6,,n,0
F,1,102,12,11,1,0,,,n,0
F,2,101,17,13,4,0,,,n,0
F,2,201,10,7,3,0,,,n,0
F,3,101,13,11,2,0,,,n,0
F,3,201,15,10,4,0,1,,n,0
F,4,101,27,13,7,4,3,,n,0
F,4,102,13,10,3,0,,,n,0
F,4,201,16,8,3,0,4,1,n,0
F,4,202,12,10,2,0,,,n,0
F,5,102,13,11,2,0,,,n,0
F,5,201,40,22,7,5,3,3,n,0
F,5,202,12,11,1,0,,,n,0
F,6,101,16,11,3,2,,,n,0
F,6,201,14,8,1,2,3,0,n,0
F,6,202,14,12,2,0,,,n,0
F,7,101,8,4,3,1,,,n,0
F,7,201,8,4,3,1,,,n,0
F,7,202,6,6,0,0,,,n,0
F,8,201,7,5,2,0,,,n,0
F,9,101,7,4,3,0,,,n,0
F,9,201,8,6,2,0,,,n,0
F,10,101,8,3,2,3,,,n,0
F,10,102,8,8,0,0,,,n,0
F,10,201,8,5,3,0,,,n,0
F,11,101,7,3,3,1,,,n,0
F,11,201,8,2,3,3,,,n,0
F,11,202,7,7,0,0,,,n,0
