Device,Plant,Truss,Total flowers,Budding,Transition B to O,Open,Closed,Setting,Treated(Y/N),Difference
A,1,101,15,12,3,0,,,n,0
A,1,201,16,9,4,3,,,y,0
A,1,202,13,12,1,0,,,n,0
A,2,101,20,12,3,5,,,y,0
A,2,102,13,12,1,0,,,n,0
A,2,201,17,9,3,5,,,y,0
A,2,202,15,13,2,0,,,n,0
A,3,101,17,10,3,0,4,,y,0
A,3,102,14,11,3,0,,,n,0
A,3,201,16,9,4,0,3,,y,0
A,3,202,15,13,2,0,,,n,0
A,4,101,18,10,3,0,5,,y,0
A,4,102,15,13,2,0,,,n,0
A,4,201,16,9,3,0,4,,y,0
A,4,202,14,13,1,0,,,n,0
A,5,101,16,10,2,0,4,,y,0
A,5,102,14,13,1,0,,,n,0
A,5,201,34,23,6,0,5,,y,0
A,5,202,12,12,,0,,,n,0
A,6,101,16,9,3,0,4,,y,0
A,6,102,12,11,1,0,,,n,0
A,6,201,28,17,5,0,6,,y,0
A,6,202,13,13,0,0,,,n,0
A,7,101,22,18,2,0,2,,y,0
A,7,201,26,11,7,0,5,,y,3
A,8,101,16,9,4,0,3,,y,0
A,8,102,15,12,3,0,,,n,0
A,8,201,15,8,3,0,4,,y,0
A,9,101,7,4,3,0,,,n,0
A,9,201,7,4,3,0,,,n,0
A,10,101,6,1,2,3,,,y,0
A,10,102,7,7,0,0,,,n,0
A,10,201,8,5,3,0,,,n,0
A,11,101,8,5,2,1,,,y,0
A,11,201,7,5,2,0,,,n,0
A,12,101,6,3,3,0,,,y,0
A,12,201,8,4,2,2,,,y,0
A,13,101,8,6,2,0,,,n,0
A,13,201,8,6,2,0,,,n,0
A,14,101,7,5,2,0,,,y,0
A,14,201,7,4,3,0,,,n,0
B,1,101,15,9,2,4,,,y,0
B,1,102,14,12,2,0,,,n,0
B,1,201,16,9,4,3,,,y,0
B,1,202,22,19,3,0,,,n,0
B,2,101,15,7,3,5,,,y,0
B,2,102,13,9,4,0,,,n,0
B,2,201,15,7,4,4,,,y,0
B,2,202,14,11,3,0,,,n,0
B,3,101,14,10,1,0,3,,y,0
B,3,201,19,10,4,0,5,,y,0
B,3,202,13,11,2,0,,,n,0
B,4,101,10,3,3,0,4,,y,0
B,4,201,16,11,3,0,2,,y,0
B,5,101,16,10,2,0,4,,y,0
B,5,102,15,15,0,0,,,n,0
B,5,201,16,13,3,0,,,n,0
B,6,101,11,6,1,0,4,,y,0
B,6,102,14,12,2,0,,,n,0
B,6,201,12,9,3,0,,,n,0
B,7,101,33,19,7,0,7,,y,0
B,7,201,14,9,3,0,2,,y,0
B,8,101,16,9,3,0,4,,y,0
B,9,101,8,5,2,1,,,y,0
B,9,201,7,1,2,4,,,y,0
B,10,101,8,1,4,3,,,n,0
B,10,201,7,3,2,2,,,y,0
B,10,202,6,6,0,0,,,y,0
B,11,101,7,7,0,0,,,n,0
B,11,201,7,3,3,1,,,y,0
B,12,101,8,2,2,4,,,y,0
B,12,201,8,3,2,3,,,y,0
B,13,101,7,3,2,2,,,y,0
B,13,201,8,5,3,0,,,y,0
B,14,101,7,2,2,3,,,y,0
B,14,201,7,3,3,1,,,y,0
C,1,101,31,18,6,7,,,y,0
C,1,102,13,11,2,0,,,n,0
C,1,201,32,18,7,7,,,y,0
C,1,202,13,10,3,0,,,n,0
C,2,101,16,13,3,0,,,n,0
C,2,201,16,12,4,0,,,n,0
C,3,101,17,10,3,0,4,,y,0
C,3,201,15,11,4,0,,,n,0
C,4,101,16,10,2,0,4,,y,0
C,4,102,13,12,1,0,,,n,0
C,4,201,30,16,6,0,8,,y,0
C,4,202,16,14,2,0,,,n,0
C,5,101,18,10,4,0,4,,y,0
C,5,102,14,13,1,0,,,n,0
C,5,201,29,16,7,0,6,,y,0
C,5,202,14,14,0,0,,,n,0
C,6,101,16,9,4,0,3,,y,0
C,6,102,12,12,0,0,,,n,0
C,6,201,17,9,4,0,4,,y,0
C,6,202,10,10,0,0,,,n,0
C,7,101,29,14,5,0,7,,y,3
C,7,201,32,17,8,0,7,,y,0
C,7,202,14,12,2,0,,,n,0
C,8,101,15,9,3,0,3,,y,0
C,8,102,13,13,0,0,,,n,0
C,8,201,27,17,5,0,5,,y,0
C,8,202,13,13,0,0,,,n,0
C,9,101,,,,,,,y,0
C,10,101,7,3,4,0,,,n,0
C,10,201,7,4,3,0,,,n,0
C,11,101,6,2,3,1,,,y,0
C,11,201,7,4,3,0,,,n,0
C,12,101,7,5,1,1,,,y,0
C,12,201,7,3,3,1,,,n,0
C,13,101,6,2,3,1,,,n,0
C,13,201,7,5,2,0,,,n,0
C,14,101,7,3,2,2,,,y,0
C,14,201,7,4,2,1,,,n,0
E,1,101,16,10,2,4,,,n,0
E,1,201,13,8,3,2,,,n,0
E,2,101,6,3,3,0,,,n,0
E,2,201,11,10,1,0,,,n,0
E,3,101,14,10,3,1,,,n,0
E,3,201,24,18,3,3,,,n,0
E,3,202,16,16,0,0,,,n,0
E,4,101,14,11,3,0,,,n,0
E,4,201,16,11,3,2,,,n,0
E,5,101,12,9,3,0,,,n,0
