Device,Plant,Truss,Total flowers,Budding,Transition B to O,Open,Closed,Setting,Treated(Y/N),Difference
A,1,101,16,9,2,3,1,1,y,0
A,1,102,13,12,1,,,,,0
A,1,201,18,8,3,3,,4,y,0
A,1,202,17,11,4,2,,,y,0
A,2,101,23,12,3,3,,5,y,0
A,2,102,18,13,3,2,,,y,0
A,2,201,19,9,2,2,1,5,y,0
A,2,202,17,12,3,2,,,y,0
A,3,101,18,6,4,2,,6,y,0
A,3,102,18,11,4,2,,1,y,0
A,3,103,13,12,1,,,,,0
A,3,201,15,6,3,2,1,3,y,0
A,3,202,17,12,3,2,,,y,0
A,3,203,12,12,,,,,,0
A,4,101,21,8,4,4,,5,y,0
A,4,102,20,12,4,4,,,y,0
A,4,103,14,13,1,,,,,0
A,4,201,19,8,3,2,1,5,y,0
A,4,202,18,12,3,3,,,y,0
A,4,203,11,11,,,,,,0
A,5,101,19,7,3,4,,5,y,0
A,5,102,18,9,3,6,,,y,0
A,5,201,35,12,8,10,2,3,y,0
A,5,202,14,8,5,1,,,,0
A,6,101,15,4,3,3,1,4,y,0
A,6,102,15,10,3,2,,,y,0
A,6,201,30,13,5,5,2,5,y,0
A,6,202,15,9,4,2,,,y,0
A,7,101,25,9,6,7,1,2,y,0
A,7,102,15,14,1,,,,,0
A,7,201,27,10,5,5,2,5,y,0
A,7,202,12,8,3,1,,,,0
A,8,101,18,7,3,3,2,3,y,0
A,8,102,16,8,3,4,1,,y,0
A,8,103,14,14,,,,,,0
A,8,201,16,5,3,3,2,3,y,0
A,8,202,14,8,4,2,,,y,0
A,9,101,7,2,2,2,1,,y,0
A,9,102,7,7,,,,,,0
A,9,201,7,1,3,3,,,y,0
A,9,202,7,6,1,,,,,0
A,10,101,7,1,1,2,1,2,y,0
A,10,102,7,4,2,1,,,,0
A,10,201,7,1,2,3,1,,y,0
A,10,202,8,8,,,,,,0
A,11,101,8,2,,5,1,,y,0
A,11,201,8,,,4,2,2,y,0
A,12,101,7,2,2,1,2,,n,0
A,12,102,8,8,,,,,,0
A,12,201,8,1,2,2,,3,y,0
A,12,202,7,4,3,,,,,0
A,13,101,7,2,2,3,,,y,0
A,13,201,7,1,3,3,,,y,0
A,14,101,6,,1,1,2,2,,0
A,14,102,8,2,3,3,,,y,0
