Device,Plant,Truss,Total flowers,Budding,Transition B to O,Open,Closed,Setting,Broken Sets,Treated(Y/N),Difference
A,1,101,11,10,1,,,,,n,0
A,1,201,14,10,3,1,,,,y,0
A,2,101,16,10,4,2,,,,y,0
A,2,201,14,8,3,3,,,,y,0
A,3,101,16,9,5,2,,,,y,0
A,3,102,12,11,1,,,,,n,0
A,3,201,16,11,4,1,,,,y,0
A,4,101,18,11,4,3,,,,y,0
A,4,102,13,12,1,,,,,n,0
A,4,201,16,11,3,2,,,,y,0
A,4,202,13,13,,,,,,n,0
A,5,101,15,9,4,2,,,,y,0
A,5,102,13,12,1,,,,,n,0
A,5,201,30,21,7,2,,,,y,0
A,6,101,16,10,4,2,,,,y,0
A,6,201,26,18,5,3,,,,y,0
A,6,202,11,11,,,,,,n,0
A,7,101,19,17,2,,,,,n,0
A,7,201,25,17,6,2,,,,y,0
A,8,101,14,10,2,2,,,,y,0
A,8,102,10,9,1,,,,,n,0
A,8,201,15,9,4,2,,,,y,0
A,9,101,7,5,2,,,,,n,0
A,9,201,6,4,2,,,,,n,0
A,10,101,6,2,3,1,,,,y,0
A,10,201,8,5,3,,,,,n,0
A,11,101,8,5,3,,,,,n,0
A,11,201,7,7,,,,,,n,0
A,12,101,8,6,2,,,,,n,0
A,12,201,7,4,3,,,,,n,0
A,13,101,7,6,1,,,,,n,0
A,13,201,8,6,2,,,,,n,0
A,14,101,6,1,3,2,,,,y,0
A,14,102,7,5,2,,,,,n,0
A,14,201,7,6,1,,,,,n,0
B,1,101,15,10,3,2,,,,y,0
B,1,201,15,9,4,2,,,,y,0
B,2,101,15,9,3,3,,,,y,0
B,2,102,12,11,1,,,,,n,0
B,2,201,15,9,4,2,,,,y,0
B,2,202,13,13,,,,,,n,0
B,3,101,13,10,1,2,,,,y,0
B,3,201,18,11,4,3,,,,y,0
B,3,202,10,10,,,,,,n,0
B,4,101,11,5,4,2,,,,y,0
B,4,201,16,12,4,,,,,n,0
