Device,Plant,Truss,Total flowers,Budding,Transition B to O,Open,Closed,Setting,Broken Sets,Treated(Y/N),Difference
B,5,101,15,9,3,3,,,,y,0
B,5,102,10,10,,,,,,n,0
B,5,201,13,12,1,,,,,n,0
B,6,101,11,6,3,2,,,,y,0
B,6,201,11,11,,,,,,n,0
B,7,101,28,19,5,4,,,,y,0
B,7,201,15,11,4,,,,,n,0
B,8,101,13,8,3,2,,,,y,0
B,9,101,7,4,3,,,,,n,0
B,9,201,7,2,3,2,,,,y,0
B,10,101,8,3,3,2,,,,y,0
B,10,201,7,4,3,,,,,n,0
B,11,101,7,7,,,,,,n,0
B,11,201,7,5,2,,,,,n,0
B,12,101,7,2,3,2,,,,n,0
B,12,201,8,4,3,1,,,,y,0
B,13,101,7,3,4,,,,,y,0
B,13,201,8,7,1,,,,,n,0
B,14,101,6,2,3,1,,,,y,0
B,14,201,8,5,3,,,,,n,0
C,1,101,28,18,6,4,,,,y,0
C,1,102,11,10,1,,,,,n,0
C,1,201,29,18,7,4,,,,y,0
C,1,202,13,13,,,,,,n,0
C,2,101,14,12,2,,,,,n,0
C,2,201,13,11,2,,,,,n,0
C,3,101,16,11,3,2,,,,y,0
C,3,201,14,12,2,,,,,n,0
C,4,101,15,11,2,2,,,,y,0
C,4,102,10,10,,,,,,n,0
C,4,201,29,18,6,5,,,,y,0
C,5,101,16,10,4,2,,,,y,0
C,5,201,27,20,5,2,,,,y,0
C,6,101,15,10,4,1,,,,y,0
C,6,201,15,8,5,2,,,,y,0
C,7,101,28,20,5,3,,,,y,0
C,7,201,29,20,6,3,,,,y,0
C,7,202,,,,,,,,n,0
C,8,101,15,10,3,2,,,,y,0
C,8,201,23,16,5,2,,,,y,0
C,8,202,11,11,,,,,,n,0
C,9,101,8,4,3,1,,,,y,0
C,9,201,7,7,,,,,,n,0
C,10,101,7,5,2,,,,,n,0
C,10,201,7,5,2,,,,,n,0
C,11,101,6,3,3,,,,,n,0
C,11,201,8,6,2,,,,,n,0
C,12,101,8,6,1,1,,,,y,0
C,12,201,7,5,2,,,,,n,0
C,13,101,8,5,3,,,,,n,0
C,13,201,7,7,,,,,,n,0
C,14,101,7,4,3,,,,,n,0
C,14,201,8,6,2,,,,,n,0
E,1,101,15,11,2,2,,,,y,0
E,1,201,15,12,3,,,,,n,0
E,2,101,6,6,,,,,,n,0
E,2,201,10,10,,,,,,n,0
E,3,101,13,10,3,,,,,n,0
E,3,201,22,18,4,,,,,n,0
E,4,101,9,8,1,,,,,n,0
E,4,201,11,9,2,,,,,n,0
E,5,101,11,11,,,,,,n,0
E,5,201,13,11,1,1,,,,n,0
E,6,101,12,12,,,,,,n,0
E,7,101,8,4,3,1,,,,n,0
E,7,201,7,6,1,,,,,n,0
E,8,101,8,7,1,,,,,n,0
E,8,201,7,6,1,,,,,n,0
E,9,101,7,7,,,,,,n,0
F,1,101,33,23,9,1,,,,n,0
F,1,102,8,8,,,,,,n,0
F,1,201,14,9,3,2,,,,n,0
F,2,101,13,13,,,,,,n,0
F,2,201,8,8,,,,,,n,0
F,3,101,9,9,,,,,,n,0
F,3,201,14,11,3,,,,,n,0
F,4,101,24,15,5,2,2,,,n,0
F,4,102,12,12,,,,,,n,0
F,4,201,17,11,3,3,,,,n,0
F,4,202,13,13,,,,,,n,0
F,5,101,27,18,5,4,,,,n,0
F,5,102,14,14,,,,,,n,0
F,5,201,35,21,6,5,3,,,n,0
F,5,202,12,12,,,,,,n,0
F,6,101,13,10,3,,,,,n,0
F,6,201,9,4,2,3,,,,n,0
F,6,202,10,10,,,,,,n,0
F,7,101,7,4,3,,,,,n,0
F,7,201,7,4,3,,,,,n,0
F,8,201,6,5,1,,,,,n,0
F,9,101,7,5,2,,,,,n,0
F,9,201,7,6,1,,,,,n,0
F,10,101,8,3,2,3,,,,n,0
F,10,102,6,6,,,,,,n,0
F,10,201,8,6,2,,,,,n,0
F,11,101,6,4,2,,,,,n,0
F,11,201,7,2,2,3,,,,n,0
F,11,202,7,7,,,,,,n,0
