Device,Plant,Truss,Total_flowers,Budding,Transition_B_to_O,Open,Closed,Setting,Broken_Sets,Out_of_Sequence,Test_Year,Test_Month,Test_Day
3,3,101,15.0,12.0,3.0,0.0,0.0,0.0,0.0,0,247968,246,2337
3,4,101,28.0,22.0,6.0,0.0,0.0,0.0,0.0,0,247968,246,2337
3,4,201,14.0,12.0,2.0,0.0,0.0,0.0,0.0,0,247968,246,2337
3,5,101,27.0,23.0,4.0,0.0,0.0,0.0,0.0,0,247968,246,2337
3,5,201,16.0,14.0,2.0,0.0,0.0,0.0,0.0,0,247968,246,2337
3,6,101,16.0,14.0,2.0,0.0,0.0,0.0,0.0,0,247968,246,2337
3,6,201,14.0,13.0,1.0,0.0,0.0,0.0,0.0,0,247968,246,2337
3,7,101,26.0,22.0,4.0,0.0,0.0,0.0,0.0,0,247968,246,2337
3,7,201,24.0,21.0,3.0,0.0,0.0,0.0,0.0,0,247968,246,2337
3,8,101,25.0,23.0,2.0,0.0,0.0,0.0,0.0,0,247968,246,2337
3,8,201,13.0,11.0,2.0,0.0,0.0,0.0,0.0,0,247968,246,2337
3,9,101,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0,247968,246,2337
3,9,201,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0,247968,246,2337
3,10,101,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0,247968,246,2337
3,10,201,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0,247968,246,2337
3,11,101,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0,247968,246,2337
3,11,201,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0,247968,246,2337
3,12,101,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0,247968,246,2337
3,12,201,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0,247968,246,2337
3,13,101,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0,247968,246,2337
3,13,201,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0,247968,246,2337
3,14,101,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0,247968,246,2337
3,14,201,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0,247968,246,2337
5,1,101,8.0,5.0,3.0,0.0,0.0,0.0,0.0,0,247968,246,2337
5,1,201,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0,247968,246,2337
5,2,101,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0,247968,246,2337
5,2,201,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0,247968,246,2337
5,3,101,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0,247968,246,2337
5,3,201,14.0,12.0,2.0,0.0,0.0,0.0,0.0,0,247968,246,2337
5,4,101,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0,247968,246,2337
5,4,201,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0,247968,246,2337
5,5,101,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0,247968,246,2337
5,5,201,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0,247968,246,2337
5,6,101,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0,247968,246,2337
5,6,201,16.0,15.0,1.0,0.0,0.0,0.0,0.0,0,247968,246,2337
5,7,101,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0,247968,246,2337
5,7,201,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0,247968,246,2337
5,8,101,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0,247968,246,2337
5,8,201,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0,247968,246,2337
5,9,101,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0,247968,246,2337
6,1,101,14.0,10.0,4.0,0.0,0.0,0.0,0.0,0,247968,246,2337
6,1,201,12.0,10.0,2.0,0.0,0.0,0.0,0.0,0,247968,246,2337
6,2,101,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0,247968,246,2337
6,2,201,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0,247968,246,2337
6,3,101,9.0,8.0,1.0,0.0,0.0,0.0,0.0,0,247968,246,2337
6,3,201,10.0,8.0,2.0,0.0,0.0,0.0,0.0,0,247968,246,2337
6,4,101,21.0,13.0,6.0,2.0,0.0,0.0,0.0,0,247968,246,2337
6,4,201,14.0,10.0,3.0,1.0,0.0,0.0,0.0,0,247968,246,2337
6,5,101,20.0,14.0,6.0,0.0,0.0,0.0,0.0,0,247968,246,2337
