Device,Plant,Truss,Total flowers,Budding,Transition B to O,Open,Closed,Setting,Broken Sets,Treated(Y/N),Difference
A,1,101,20,6,3,4,1,6,,,0
A,1,102,18,9,2,4,3,,,,0
A,1,103,15,12,2,1,,,,,0
A,1,201,19,5,,3,,10,1,,0
A,1,202,17,5,3,2,2,5,,,0
A,1,203,15,9,3,3,,,,,0
A,2,101,25,7,2,5,,11,,,0
A,2,102,22,9,3,5,,5,,,0
A,2,103,16,9,3,4,,,,,0
A,2,104,16,15,1,,,,,,0
A,2,201,21,4,2,2,2,10,1,,0
A,2,202,19,7,3,3,,6,,,0
A,2,203,16,9,4,3,,,,,0
A,3,101,18,4,,1,2,11,,,0
A,3,102,18,5,2,3,1,7,,,0
A,3,103,16,7,3,3,2,1,,,0
A,3,104,12,8,2,2,,,,,0
A,3,201,15,3,,1,2,9,,,0
A,3,202,15,4,2,4,,5,,,0
A,3,203,14,7,3,2,2,,,,0
A,3,204,18,16,2,,,,,,0
A,4,101,23,5,2,2,2,12,,,0
A,4,102,22,7,3,4,1,7,,,0
A,4,103,20,10,3,3,3,1,,,0
A,4,104,15,11,3,1,,,,,0
A,4,201,19,4,1,3,2,9,,,0
A,4,202,20,7,3,2,3,5,,,0
A,4,203,17,10,2,3,2,,,,0
A,4,204,14,13,1,,,,,,0
A,5,101,20,1,2,3,2,10,2,,0
A,5,102,20,5,3,3,2,7,,,0
A,5,103,18,8,3,2,3,1,1,,0
A,5,104,14,11,3,,,,,,0
A,5,201,36,6,4,5,5,16,,,0
A,5,202,19,7,3,3,2,4,,,0
A,5,203,17,11,3,2,1,,,,0
A,6,101,16,4,1,,1,10,,,0
A,6,102,14,5,3,,2,4,,,0
A,6,103,12,7,3,2,,,,,0
A,6,201,28,4,2,,4,16,2,,0
A,6,202,17,6,3,1,2,5,,,0
A,6,203,13,7,3,2,1,,,,0
A,7,101,35,11,6,3,6,9,,,0
A,7,102,18,7,3,2,5,1,,,0
A,7,103,13,9,3,1,,,,,0
A,7,201,33,7,4,1,4,16,1,,0
A,7,202,13,4,1,2,2,4,,,0
A,7,203,12,8,3,1,,,,,0
A,8,101,22,3,2,2,1,11,3,,0
