Device,Plant,Truss,Total flowers,Budding,Transition B to O,Open,Closed,Setting,Broken Sets,Out of Sequence,Treated(Y/N)
F,4,104,21,,,,,5,,,
F,4,201,16,,,,,10,1,,
F,4,202,18,,,,,14,,,
F,4,203,20,,,,,9,1,,
F,4,204,18,,,,,4,,,
F,5,101,30,,,,,24,,1,
F,5,102,18,,,,,14,,,
F,5,103,18,,,,,8,,,
F,5,104,17,,,,,,,,
F,5,201,38,,,,,28,1,,
F,5,202,19,,,,,13,,,
F,5,203,20,,,,,7,,,
F,5,204,18,,,,,3,,,
F,6,101,16,,,,,14,,,
F,6,102,17,,,,,10,,,
F,6,103,17,,,,,5,,,
F,6,104,18,,,,,0,,,
F,6,201,16,,,,,9,4,,
F,6,202,19,,,,,14,,,
F,6,203,19,,,,,8,,,
F,6,204,18,,,,,2,,,
F,7,101,7,,,,,6,,,
F,7,102,7,,,,,4,,,
F,7,201,8,,,,,6,,,
F,7,202,7,,,,,5,,,
F,8,201,7,,,,,4,,,
F,8,202,7,,,,,3,,,
F,9,101,8,,,,,6,,,
F,9,102,7,,,,,5,,,
F,9,201,8,,,,,6,,,
F,9,202,9,,,,,6,,,
F,10,101,9,,,,,7,,,
F,10,102,7,,,,,6,,,
F,10,103,7,,,,,3,,,
F,10,201,8,,,,,7,,,
F,10,202,8,,,,,5,,,
F,10,203,7,,,,,0,,,
F,11,101,7,,,,,5,,,
F,11,102,7,,,,,4,,,
F,11,201,7,,,,,7,,,
F,11,202,7,,,,,5,,,
F,11,203,7,,,,,0,,,
