Device,Plant,Truss,Total flowers,Budding,Transition B to O,Open,Closed,Setting,Treated(Y/N),Difference
A,1,101,9,9,0,0,0,0,n,0
A,1,201,12,10,2,0,0,0,n,0
A,2,101,10,8,2,0,0,0,n,0
A,2,201,11,7,4,0,0,0,n,0
A,3,101,12,7,5,0,0,0,n,0
A,3,201,12,9,3,0,0,0,n,0
A,4,101,13,9,4,0,0,0,n,0
A,4,201,13,10,3,0,0,0,n,0
A,5,101,12,8,4,0,0,0,n,0
A,5,201,24,21,3,0,0,0,n,0
A,6,101,13,9,4,0,0,0,n,0
A,6,201,20,14,6,0,0,0,n,0
A,7,101,19,19,0,0,0,0,n,0
A,7,201,24,20,4,0,0,0,n,0
A,8,101,14,11,3,0,0,0,n,0
A,8,201,15,12,3,0,0,0,n,0
A,9,101,8,8,0,0,0,0,n,0
A,9,201,7,7,0,0,0,0,n,0
A,10,201,8,8,0,0,0,0,n,0
A,10,101,7,4,3,0,0,0,n,0
A,11,201,7,7,0,0,0,0,n,0
A,11,101,7,6,1,0,0,0,n,0
A,12,101,7,7,0,0,0,0,n,0
A,12,201,7,5,2,0,0,0,n,0
A,13,101,8,8,0,0,0,0,n,0
A,13,201,8,8,0,0,0,0,n,0
A,14,101,6,3,3,0,0,0,n,0
A,14,201,7,7,0,0,0,0,n,0
B,1,201,15,12,3,0,0,0,n,0
B,1,101,15,12,3,0,0,0,n,0
B,2,201,14,11,3,0,0,0,n,0
B,2,101,14,10,4,0,0,0,n,0
B,3,201,16,12,4,0,0,0,n,0
B,3,101,11,9,2,0,0,0,n,0
B,4,201,15,14,1,0,0,0,n,0
B,4,101,11,8,3,0,0,0,n,0
B,5,201,11,11,0,0,0,0,n,0
B,5,101,14,10,4,0,0,0,n,0
B,6,201,10,10,0,0,0,0,n,0
B,6,101,11,8,3,0,0,0,n,0
B,7,201,14,14,0,0,0,0,n,0
B,7,101,27,22,5,0,0,0,n,0
B,8,201,0,0,0,0,0,0,n,0
B,8,101,14,11,3,0,0,0,n,0
B,9,201,7,4,3,0,0,0,n,0
B,9,101,8,8,0,0,0,0,n,0
B,10,201,7,6,1,0,0,0,n,0
B,10,101,8,5,3,0,0,0,n,0
B,11,201,7,7,0,0,0,0,n,0
B,11,101,7,7,0,0,0,0,n,0
B,12,201,8,6,2,0,0,0,n,0
B,12,101,8,5,3,0,0,0,n,0
B,13,201,7,7,0,0,0,0,n,0
B,13,101,7,5,2,0,0,0,n,0
B,14,201,8,8,0,0,0,0,n,0
B,14,101,7,4,3,0,0,0,n,0
C,1,201,29,23,6,0,0,0,n,0
C,1,101,27,21,6,0,0,0,n,0
C,2,201,13,13,0,0,0,0,n,0
C,2,101,13,13,0,0,0,0,n,0
C,3,201,12,12,0,0,0,0,n,0
C,3,101,15,12,3,0,0,0,n,0
C,4,101,28,22,6,0,0,0,n,0
C,4,201,14,12,2,0,0,0,n,0
C,5,101,27,23,4,0,0,0,n,0
C,5,201,16,14,2,0,0,0,n,0
C,6,101,16,14,2,0,0,0,n,0
C,6,201,14,13,1,0,0,0,n,0
C,7,101,26,22,4,0,0,0,n,0
C,7,201,24,21,3,0,0,0,n,0
C,8,101,25,23,2,0,0,0,n,0
C,8,201,13,11,2,0,0,0,n,0
C,9,101,8,6,2,0,0,0,n,0
C,9,201,7,7,0,0,0,0,n,0
C,10,101,7,6,1,0,0,0,n,0
C,10,201,7,7,0,0,0,0,n,0
C,11,101,6,5,1,0,0,0,n,0
C,11,201,8,8,0,0,0,0,n,0
C,12,101,7,6,1,0,0,0,n,0
C,12,201,7,7,0,0,0,0,n,0
C,13,101,8,7,1,0,0,0,n,0
C,13,201,7,7,0,0,0,0,n,0
C,14,101,7,6,1,0,0,0,n,0
C,14,201,8,8,0,0,0,0,n,0
E,1,101,8,5,3,0,0,0,n,0
E,1,201,7,6,1,0,0,0,n,0
E,2,101,5,5,0,0,0,0,n,0
E,2,201,5,5,0,0,0,0,n,0
E,3,101,6,5,1,0,0,0,n,0
E,3,201,14,12,2,0,0,0,n,0
E,4,101,8,8,0,0,0,0,n,0
E,4,201,8,8,0,0,0,0,n,0
E,5,101,6,6,0,0,0,0,n,0
E,5,201,8,8,0,0,0,0,n,0
E,6,101,6,6,0,0,0,0,n,0
E,6,201,16,15,1,0,0,0,n,0
E,7,101,7,5,2,0,0,0,n,0
E,7,201,7,7,0,0,0,0,n,0
E,8,101,6,6,0,0,0,0,n,0
E,8,201,7,6,1,0,0,0,n,0
E,9,101,7,7,0,0,0,0,n,0
F,1,101,14,10,4,0,0,0,n,0
F,1,201,12,10,2,0,0,0,n,0
F,2,101,8,7,1,0,0,0,n,0
F,2,201,8,7,1,0,0,0,n,0
F,3,101,9,8,1,0,0,0,n,0
F,3,201,10,8,2,0,0,0,n,0
F,4,101,21,13,6,2,0,0,n,0
F,4,201,14,10,3,1,0,0,n,0
F,5,101,20,14,6,0,0,0,n,0
F,5,201,24,14,6,4,0,0,n,0
F,6,101,8,8,0,0,0,0,n,0
F,6,201,9,6,2,1,0,0,n,0
F,7,101,6,5,1,0,0,0,n,0
F,7,201,9,8,1,0,0,0,n,0
F,8,101,0,0,0,0,0,0,n,0
F,8,201,6,4,2,0,0,0,n,0
F,9,101,8,6,2,0,0,0,n,0
F,9,201,6,4,2,0,0,0,n,0
F,10,101,8,5,2,1,0,0,n,0
F,10,201,6,6,0,0,0,0,n,0
F,11,101,6,6,0,0,0,0,n,0
F,11,201,6,3,3,0,0,0,n,0
