Device,Plant,Truss,Total flowers,Budding,Transition B to O,Open,Closed,Setting,Broken Sets,Treated(Y/N)
A,1,101,17,,,,,8,,y
A,1,102,17,,,,,4,,y
A,1,103,16,,,,,0,,y
A,1,201,16,,,,,9,1,y
A,1,202,15,,,,,8,,y
A,1,203,12,,,,,2,,y
A,1,204,12,,,,,0,,y
A,2,101,24,,,,,14,,y
A,2,102,20,,,,,7,,y
A,2,103,14,,,,,2,,y
A,2,104,16,,,,,0,,y
A,2,201,17,,,1,7,8,1,y
A,2,202,18,5,1,1,4,7,,y
A,2,203,15,7,2,1,5,,,y
A,2,204,13,11,1,1,,0,,y
A,3,101,18,4,,,1,13,,y
A,3,102,17,4,,1,1,11,,y
A,3,103,14,3,2,2,2,5,,y
A,3,104,12,5,1,3,3,,,y
A,3,201,14,2,,,3,9,,y
A,3,202,15,4,,1,2,8,,y
A,3,203,11,2,2,1,2,4,,y
A,3,204,14,7,4,3,,,,y
A,4,101,22,3,1,2,1,15,,y
A,4,102,22,4,3,2,1,12,,y
A,4,103,21,8,2,3,3,5,,y
A,4,104,18,9,3,3,1,2,,y
A,4,105,12,9,3,,,,,n
A,4,201,19,4,,1,1,13,,y
A,4,202,20,5,2,2,2,9,,y
A,4,203,19,8,3,2,2,4,,y
A,4,204,16,10,3,3,,,,y
A,5,101,20,1,,2,1,14,2,y
A,5,102,20,3,2,2,1,12,,y
A,5,103,19,8,1,2,2,6,,y
A,5,104,17,9,3,4,1,,,y
A,5,201,34,3,2,3,4,21,1,y
A,5,202,19,4,2,2,4,7,,y
A,5,203,18,9,2,5,,2,,y
A,5,204,16,12,3,1,,,,y
A,6,101,16,4,,1,,11,,y
A,6,102,12,2,,4,,6,,y
A,6,103,12,6,,2,4,,,y
A,6,201,28,3,1,1,6,15,2,y
A,6,202,16,4,1,2,1,8,,y
A,6,203,11,5,,2,,4,,y
A,6,204,11,9,2,,,,,n
A,7,101,37,8,3,6,3,17,,y
A,7,102,18,4,3,2,1,8,,y
A,7,103,15,7,2,3,1,2,,y
A,7,201,30,4,,2,1,22,1,y
A,7,202,13,4,,1,,8,,y
A,7,203,10,5,,3,1,1,,y
A,8,101,20,2,1,1,,14,2,y
A,8,102,18,0,2,3,1,12,,y
A,8,103,19,5,3,2,1,7,1,y
A,8,104,17,8,3,3,2,1,,y
A,8,201,21,3,1,2,1,13,1,y
A,8,202,20,5,2,2,1,10,,y
A,8,203,37,16,7,9,1,4,,y
A,8,204,13,9,2,2,,,,y
A,9,101,7,,,,,4,,y
A,9,102,7,,,,,0,,y
A,9,201,7,,,,,6,,y
A,9,202,6,,,,,3,,y
A,9,203,6,,,,,0,,y
A,10,101,7,,,,,0,6,n
A,10,102,6,,,,,3,,y
A,10,103,6,,,,,0,,y
A,10,201,7,,,,,6,,y
A,10,202,7,,,,,2,,y
A,11,101,8,,,,,5,,y
A,11,102,5,,,,,0,,y
A,11,201,7,,,,,5,,y
A,11,202,8,,,,,1,,y
A,12,101,8,,,,,5,,y
A,12,102,7,,,,,1,,y
A,12,201,7,,,,,7,,y
A,12,202,6,,,,,3,,y
A,12,203,6,,,,,0,,y
A,13,101,7,,,,,3,,y
A,13,102,6,,,,,0,,y
A,13,201,8,,,,,6,,n
A,13,202,7,,,,,3,,y
A,13,203,7,,,,,0,,y
A,14,101,6,,,,,5,,y
A,14,102,7,,,,,5,,y
A,14,103,7,,,,,2,,y
A,14,104,7,,,,,0,,n
A,14,201,7,,,,,5,,y
A,14,202,7,,,,,2,,y
A,14,203,7,,,,,0,,n
B,1,101,15,1,,,2,12,,y
B,1,102,14,1,,2,2,9,,y
B,1,103,15,3,2,4,,6,,y
B,1,104,17,10,2,2,3,,,y
B,1,105,10,8,2,,,,,n
B,1,201,12,,,,1,10,1,y
B,1,202,22,3,1,2,7,9,,y
B,1,203,13,4,1,2,3,3,,y
B,1,204,12,7,1,4,,,,y
B,1,205,12,12,,,,,,n
B,2,101,19,2,,1,2,10,4,y
B,2,102,19,5,2,1,3,8,,y
B,2,103,16,7,,3,3,3,,y
B,2,104,16,11,2,2,1,,,y
B,2,201,15,,,,5,8,2,y
B,2,202,16,4,,2,3,7,,y
B,2,203,12,4,,2,2,3,1,y
B,2,204,13,11,,2,,,,n
B,3,101,18,3,,2,1,10,2,y
B,3,102,17,2,2,4,1,8,,y
B,3,103,16,7,2,2,2,3,,y
B,3,201,20,2,,1,2,14,1,y
B,3,202,21,4,3,2,1,11,,y
B,3,203,20,7,3,3,1,6,,y
B,3,204,17,10,3,4,,,,n
B,4,102,15,,3,1,3,7,1,y
B,4,103,15,5,2,5,,3,,y
B,4,104,18,9,5,4,,,,n
B,4,201,17,5,,,4,7,1,y
B,4,202,11,1,,3,2,4,1,y
B,4,203,14,6,2,4,,2,,y
B,4,204,18,14,4,,,,,n
B,5,101,19,2,,2,1,13,1,y
B,5,102,20,4,2,2,1,11,,y
B,5,103,17,6,2,3,2,4,,y
B,5,201,19,3,1,2,1,12,,y
B,5,202,17,5,2,3,3,4,,y
B,5,203,14,8,2,3,1,,,y
B,6,101,17,1,,1,,10,5,y
B,6,102,19,3,2,2,4,8,,y
B,6,103,19,7,3,4,2,3,,y
B,6,104,16,10,2,4,,,,n
B,6,201,16,3,1,2,3,7,,y
B,6,202,14,5,,3,1,5,,y
B,6,203,12,7,2,3,,,,n
B,7,101,37,5,,2,2,26,2,y
B,7,102,18,2,2,3,1,10,,y
B,7,103,15,4,2,5,,4,,y
B,7,104,14,8,3,3,,,,n
B,7,201,20,4,,3,,10,3,y
B,7,202,15,3,,3,1,8,,y
B,7,203,15,7,1,6,,1,,y
B,8,101,20,2,2,3,1,12,,y
B,8,102,21,5,2,4,1,9,,y
B,8,103,16,7,2,5,,2,,y
B,8,104,9,6,2,1,,,,n
B,8,201,15,6,1,2,,6,,y
B,8,202,12,8,2,2,,,,y
B,9,101,7,,,,,4,,y
B,9,102,5,,,,,0,,y
B,9,103,6,,,,,0,,y
B,9,201,7,,,,,4,,y
B,9,202,6,,,,,4,,y
B,9,203,5,,,,,0,,n
B,10,101,8,,,,,3,,y
B,10,102,8,,,,,2,,y
B,10,103,8,,,,,0,,y
B,10,201,7,,,,,0,,y
B,10,202,8,,,,,2,,y
B,10,203,7,,,,,0,,n
B,11,101,5,,,,,0,,y
B,11,201,8,,,,,4,,y
B,11,202,7,,,,,1,,y
B,11,203,7,,,,,0,,y
B,12,101,8,,,,,5,,y
B,12,102,7,,,,,2,,y
B,12,103,8,,,,,0,,y
B,12,201,7,,,,,4,,y
B,12,202,8,,,,,2,,y
B,12,203,6,,,,,0,,y
B,13,101,7,,,,,3,,y
B,13,102,7,,,,,0,,y
B,13,201,8,,,,,6,,y
B,13,202,7,,,,,0,,y
B,13,203,8,,,,,1,,y
B,14,101,7,,,,,5,,y
B,14,102,8,,,,,2,,y
B,14,103,7,,,,,0,,y
B,14,201,7,,,,,5,,y
B,14,202,7,,,,,1,,y
B,14,203,7,,,,,0,,n
C,1,101,35,6,,2,9,16,2,y
C,1,102,15,3,1,1,3,7,,y
C,1,103,14,5,1,1,3,4,,y
C,1,104,13,9,1,2,1,,,y
C,1,201,33,6,,1,11,15,,y
C,1,202,15,,1,1,3,10,,y
C,1,203,14,4,1,2,3,4,,y
C,1,204,14,9,1,3,1,,,y
C,2,101,22,4,2,2,1,13,,y
C,2,102,19,6,2,2,1,8,,y
C,2,103,18,9,3,3,2,1,,y
C,2,201,20,4,1,2,4,9,,y
C,2,202,17,5,2,2,1,7,,y
C,2,203,15,8,3,3,1,,,y
C,3,101,19,2,1,1,2,12,1,y
C,3,102,17,3,2,2,1,9,,y
C,3,103,12,4,1,1,3,3,,y
C,3,104,14,9,3,2,,,,y
C,3,201,19,4,1,2,2,9,1,y
C,3,202,18,6,2,2,2,6,,y
C,3,203,14,7,2,3,2,,,y
C,4,101,20,2,,1,2,13,2,y
C,4,102,19,2,2,2,2,11,,y
C,4,103,18,5,2,3,2,5,1,y
C,4,104,13,9,1,1,2,,,y
C,4,105,13,12,1,,,,,n
C,4,201,31,3,,1,4,21,2,y
C,4,202,19,3,2,3,1,10,,y
C,4,203,16,5,2,2,2,4,1,y
C,4,204,15,9,3,3,,,,y
C,5,101,21,4,,1,4,11,1,y
C,5,102,16,4,,4,,8,,y
C,5,103,14,5,2,2,3,2,,y
C,5,104,13,9,3,1,,,,y
C,5,201,28,5,,,6,16,1,y
C,5,202,14,3,,1,3,7,,y
C,5,203,11,5,,2,4,,,y
C,5,204,9,8,1,,,,,n
C,6,101,18,5,,1,2,10,,y
C,6,102,16,7,,,1,8,,y
C,6,103,14,7,1,2,2,2,,y
C,6,104,13,12,1,,,,,n
C,6,201,16,1,,,4,10,1,y
C,6,202,16,5,,2,3,6,,y
C,6,203,12,6,,2,3,1,,y
C,6,204,23,21,2,,,,,n
C,7,101,32,5,,1,2,23,1,y
C,7,102,18,4,1,3,1,6,3,y
C,7,103,18,8,1,3,2,4,,y
C,7,104,15,9,2,4,,,,n
C,7,201,32,3,,1,1,26,1,y
C,7,202,19,3,2,2,1,11,,y
C,7,203,16,5,2,3,1,5,,y
C,7,204,14,8,2,3,1,,,y
C,8,101,18,3,,1,2,12,,y
C,8,102,18,4,2,1,2,9,,y
C,8,103,17,8,2,2,3,2,,y
C,8,104,14,11,2,1,,,,n
C,8,201,34,6,,3,1,24,,y
C,8,202,19,4,2,2,1,10,,y
C,8,203,17,7,3,2,1,4,,y
C,8,204,13,9,3,1,,,,y
C,9,101,8,,,,,5,,y
C,9,102,6,,,,,4,,y
C,9,201,8,,,,,5,,y
C,9,202,6,,,,,2,,y
C,10,101,7,,,,,4,,y
C,10,102,6,,,,,1,,y
C,10,103,6,,,,,0,,n
C,10,201,6,,,,,5,,y
C,10,202,7,,,,,3,,y
C,11,101,6,,,,,6,,y
C,11,102,7,,,,,2,,y
C,11,103,7,,,,,0,,n
C,11,201,8,,,,,7,,y
C,11,202,7,,,,,3,,y
C,11,203,7,,,,,0,,n
C,12,101,5,,,,,3,,y
C,12,102,7,,,,,1,,y
C,12,103,6,,,,,0,,n
C,12,201,7,,,,,5,,y
C,12,202,7,,,,,2,,y
C,13,101,8,,,,,4,,y
C,13,102,6,,,,,0,,n
C,13,201,7,,,,,6,,y
C,13,202,4,,,,,1,,y
C,13,203,6,,,,,0,,n
C,14,101,7,,,,,5,,y
C,14,102,8,,,,,3,,y
C,14,103,7,,,,,0,,n
C,14,201,7,,,,,7,,y
C,14,202,7,,,,,3,,y
C,14,203,8,,,,,0,,n
E,1,101,19,2,1,3,5,8,,
E,1,102,17,2,3,5,,7,,
E,1,103,18,8,3,5,1,1,,
E,1,104,25,21,4,,,,,
E,1,201,19,3,1,1,3,10,1,
E,1,202,17,3,3,4,,7,,
E,1,203,17,8,3,5,,1,,
E,1,204,13,10,2,1,,,,
E,2,101,11,3,,1,1,3,3,
E,2,102,14,3,2,4,1,4,,
E,2,103,18,10,3,5,,,,
E,2,104,20,17,3,,,,,
E,2,201,15,4,,1,6,4,,
E,2,202,12,4,1,4,2,1,,
E,2,203,19,13,3,3,,,,
E,3,101,13,,,2,2,8,1,
E,3,102,24,8,2,5,3,6,,
E,3,103,13,5,2,5,,1,,
E,3,104,22,19,3,,,,,
E,3,201,28,8,,,2,16,2,
E,3,202,25,8,,3,6,8,,
E,3,203,7,,1,2,2,2,,
E,3,204,24,18,3,3,,,,
E,4,101,18,3,,3,2,10,,
E,4,102,15,4,1,3,2,4,1,
E,4,103,16,9,3,4,,,,
E,4,201,20,3,1,3,1,8,4,
E,4,202,18,5,2,4,,7,,
E,4,203,15,7,3,5,,,,
E,5,101,20,7,1,4,5,3,,
E,5,102,14,5,1,4,2,1,1,
E,5,103,12,9,,3,,,,
E,5,201,16,3,1,2,2,6,2,
E,5,202,14,5,1,2,2,4,,
E,5,203,16,11,,4,1,,,
E,6,101,15,4,,2,5,1,3,
E,6,102,12,4,1,4,1,2,,
E,6,103,13,7,2,4,,,,
E,6,201,22,5,,,5,10,2,
E,6,202,14,4,,1,2,6,1,
E,6,203,19,8,,5,4,2,,
E,6,204,24,11,4,8,1,,,
E,6,205,11,6,4,1,,,,
E,7,101,8,2,,,1,5,,
E,7,102,6,4,,,,2,,
E,7,201,7,3,,,3,1,,
E,7,202,6,5,,1,,,,
E,8,101,9,3,,1,1,4,,
E,8,102,8,3,,4,,1,,
E,8,201,7,1,,,4,2,,
E,8,202,8,2,,4,,2,,
E,9,101,7,0,,2,2,3,,
E,9,102,8,3,,4,1,,,
F,1,101,52,,,,,28,,
F,1,102,21,,,,,9,,
F,1,103,17,,,,,2,,
F,1,104,15,,,,,0,,
F,1,201,21,,,,,11,1,
F,1,202,17,,,,,8,,
F,1,203,17,,,,,2,,
F,1,204,10,,,,,0,,
F,2,101,21,,,,,16,,
F,2,102,16,,,,,5,,
F,2,103,15,,,,,0,,
F,2,201,17,,,,,10,,
F,2,202,17,,,,,4,,
F,2,203,15,,,,,0,,
F,3,101,18,,,,,8,,
F,3,102,18,,,,,3,,
F,3,103,10,,,,,0,,
F,3,201,17,,,,,11,,
F,3,202,16,,,,,4,,
F,3,203,16,,,,,0,,
F,4,101,23,,,,,15,,
F,4,102,17,,,,,10,,
F,4,103,17,,,,,3,1,
F,4,104,12,,,,,0,,
F,4,201,15,,,,,12,,
F,4,202,18,,,,,8,,
F,4,203,16,,,,,2,,
F,4,204,15,,,,,0,,
F,5,101,34,,,,,21,,
F,5,102,17,,,,,9,,
F,5,103,18,,,,,6,,
F,5,104,17,,,,,0,,
F,5,201,38,,,,,25,,
F,5,202,18,,,,,8,,
F,5,203,17,,,,,3,,
F,5,204,17,,,,,0,,
F,6,101,17,,,,,10,,
F,6,102,17,,,,,6,,
F,6,103,18,,,,,0,,
F,6,104,9,,,,,,,
F,6,201,17,,,,,10,3,
F,6,202,18,,,,,8,,
F,6,203,19,,,,,4,,
F,6,204,14,,,,,0,,
F,7,101,8,,,,,7,,
F,7,102,8,,,,,2,,
F,7,201,8,,,,,7,,
F,7,202,8,,,,,3,,
F,8,201,8,,,,,3,,
F,8,202,7,,,,,0,,
