Device,Plant,Truss,Total flowers,Budding,Transition B to O,Open,Closed,Setting,Treated(Y/N),Difference
A,1,101,19,10,2,5,,2,,0
A,1,102,15,12,2,1,,,,0
A,1,201,17,6,2,5,,4,,0
A,1,202,16,9,3,3,1,,,0
A,1,203,14,14,,,,,,0
A,2,101,23,10,3,5,,5,,0
A,2,102,19,12,3,4,,,,0
A,2,103,13,13,,,,,,0
A,2,201,18,6,3,2,2,5,,0
A,2,202,18,10,4,3,1,,,0
A,2,203,14,14,,,,,,0
A,3,101,19,6,3,3,2,5,,0
A,3,102,18,10,3,3,1,1,,0
A,3,103,14,11,3,,,,,0
A,3,201,16,5,2,3,1,5,,0
A,3,202,16,9,3,4,,,,0
A,3,203,13,12,1,,,,,0
A,4,101,22,8,3,3,3,5,,0
A,4,102,20,11,3,4,2,,,0
A,4,103,15,13,2,,,,,0
A,4,201,19,7,2,4,,6,,0
A,4,202,19,11,3,4,1,,,0
A,4,203,15,14,1,,,,,0
A,5,101,18,6,3,3,1,5,,0
A,5,102,19,10,3,4,2,,,0
A,5,103,15,12,3,,,,,0
A,5,201,39,17,5,9,3,5,,0
A,5,202,18,12,3,3,,,,0
A,5,203,11,11,,,,,,0
A,6,101,19,10,1,3,1,4,,0
A,6,102,16,11,2,2,1,,,0
A,6,201,32,11,4,5,5,7,,0
A,6,202,16,9,3,4,,,,0
A,6,203,12,12,,,,,,0
A,7,101,32,17,6,5,1,3,,0
A,7,102,16,11,3,2,,,,0
A,7,201,34,14,6,4,3,7,,0
A,7,202,14,8,3,3,,,,0
A,7,203,10,10,,,,,,0
A,8,101,19,6,4,3,1,5,,0
A,8,102,18,8,4,2,3,1,,0
A,8,103,14,11,3,,,,,0
A,8,201,18,6,3,2,1,6,,0
A,8,202,19,12,3,2,2,,,0
A,8,203,27,27,,,,,,0
A,9,101,7,1,3,2,,1,,0
A,9,102,7,6,1,,,,,0
A,9,201,8,2,1,3,1,1,,0
A,9,202,7,5,2,,,,,0
A,10,101,8,2,1,2,,3,,0
A,10,102,7,4,2,1,,,,0
A,10,103,8,8,,,,,,0
A,10,201,8,1,2,4,1,,,0
A,10,202,8,7,1,,,,,0
A,11,101,8,2,1,3,1,1,,0
A,11,102,8,8,,,,,,0
A,11,201,8,2,3,3,,,,0
A,11,202,8,8,,,,,,0
A,12,101,8,2,2,2,,2,,0
A,12,102,8,7,1,,,,,0
A,12,201,8,1,1,2,1,3,,0
A,12,202,7,3,3,1,,,,0
A,13,101,8,3,2,3,,,,0
A,13,102,7,7,,,,,,0
A,13,201,8,2,2,3,1,,,0
A,13,202,8,8,,,,,,0
A,14,101,6,,1,1,1,3,,0
A,14,102,8,2,2,3,1,,,0
A,14,103,7,6,1,,,,,0
A,14,201,7,,2,4,1,,,0
A,14,202,8,7,1,,,,,0
B,1,101,17,5,3,3,2,4,,0
B,1,102,16,8,2,5,,1,,0
B,1,103,16,14,2,,,,,0
B,1,201,16,5,2,2,2,5,,0
B,1,202,28,16,5,7,,,,0
B,1,203,14,12,2,,,,,0
B,2,101,19,7,2,3,1,6,,0
B,2,102,17,9,2,4,2,,,0
B,2,103,15,13,2,,,,,0
B,2,201,17,6,1,4,,6,,0
B,2,202,18,10,2,6,,,,0
B,2,203,14,12,2,,,,,0
B,3,101,17,8,3,3,,3,,0
B,3,102,17,11,3,3,,,,0
B,3,201,20,6,3,4,1,6,,0
B,3,202,19,11,3,3,2,,,0
B,3,203,14,13,1,,,,,0
B,4,102,16,8,3,3,2,,,0
B,4,103,13,11,2,,,,,0
B,4,201,16,7,3,1,3,2,,0
B,4,202,15,10,3,2,,,,0
B,5,101,20,7,3,5,,5,,0
B,5,102,20,12,3,5,,,,0
B,5,103,13,13,,,,,,0
B,5,201,18,8,3,3,3,1,,0
B,5,202,15,12,3,,,,,0
B,6,101,13,4,3,1,,5,,0
B,6,102,19,10,3,6,,,,0
B,6,103,14,13,1,,,,,0
B,6,201,17,8,3,5,,1,,0
B,6,202,13,13,,,,,,0
B,7,101,35,9,7,9,3,7,,0
B,7,102,18,10,2,4,2,,,0
B,7,103,13,11,2,,,,,0
B,7,201,20,9,3,4,1,3,,0
B,7,202,16,11,3,2,,,,0
B,8,101,19,7,2,4,2,4,,0
B,8,102,19,11,4,2,2,,,0
B,8,103,14,14,,,,,,0
B,8,201,13,11,2,,,,,0
B,9,101,9,2,2,4,1,,,0
B,9,102,7,6,1,,,,,0
B,9,201,7,,,1,,6,,0
B,9,202,7,3,1,3,,,,0
B,10,101,8,,1,4,3,,,0
B,10,102,8,4,2,2,,,,0
B,10,103,7,7,,,,,,0
B,10,201,7,,1,4,2,,,0
B,10,202,8,4,3,1,,,,0
B,11,101,7,5,2,,,,,0
B,11,201,8,1,2,2,2,1,,0
B,11,202,7,5,2,,,,,0
B,12,101,8,1,,2,,5,,0
B,12,102,7,2,2,3,,,,0
B,12,103,7,7,,,,,,0
B,12,201,8,,1,3,,4,,0
B,12,202,7,3,3,1,,,,0
B,13,101,8,1,2,3,,2,,0
B,13,201,8,1,3,3,,1,,0
B,13,202,8,8,,,,,,0
B,14,101,7,1,1,1,1,3,,0
B,14,102,7,6,1,,,,,0
B,14,201,8,2,1,4,1,,,0
B,14,202,7,6,1,,,,,0
C,1,101,36,14,4,6,4,8,,0
C,1,102,17,10,2,2,2,1,,0
C,1,103,14,12,2,,,,,0
C,1,201,37,15,4,5,2,11,,0
C,1,202,19,10,3,4,1,1,,0
C,1,203,14,13,1,,,,,0
C,2,101,20,10,3,3,2,2,,0
C,2,102,16,12,3,1,,,,0
C,2,201,19,9,3,3,2,2,,0
C,2,202,15,13,2,,,,,0
C,3,101,19,8,2,3,1,5,,0
C,3,102,15,9,2,3,1,,,0
C,3,103,13,13,,,,,,0
C,3,201,19,10,3,3,1,2,,0
C,3,202,14,11,3,,,,,0
C,4,101,18,7,3,2,1,5,,0
C,4,102,17,8,3,4,1,1,,0
C,4,103,15,14,1,,,,,0
C,4,201,33,9,5,6,2,11,,0
C,4,202,19,11,3,3,2,,,0
C,5,101,20,7,3,3,3,4,,0
C,5,102,16,9,3,3,1,,,0
C,5,103,12,12,,,,,,0
C,5,201,30,10,5,7,2,6,,0
C,5,202,16,9,3,3,1,,,0
C,5,203,11,11,,,,,,0
C,6,101,19,9,1,2,3,4,,0
C,6,102,14,9,2,2,1,,,0
C,6,103,13,13,,,,,,0
C,6,201,20,8,2,3,2,5,,0
C,6,202,15,9,3,3,,,,0
C,7,101,33,10,5,7,3,8,,0
C,7,102,13,10,2,1,,,,0
C,7,103,14,14,,,,,,0
C,7,201,32,8,6,4,4,10,,0
C,7,202,18,8,4,3,3,,,0
C,7,203,12,12,,,,,,0
C,8,101,19,7,3,2,2,5,,0
C,8,102,14,7,3,2,2,,,0
C,8,201,31,12,4,5,3,7,,0
C,8,202,15,9,2,3,1,,,0
C,8,203,10,10,,,,,,0
C,9,101,8,2,1,2,,3,,0
C,9,102,7,5,2,,,,,0
C,9,201,8,2,3,3,,,,0
C,9,202,7,7,,,,,,0
C,10,101,8,3,1,2,,2,,0
C,10,102,7,6,1,,,,,0
C,10,103,8,7,1,,,,,0
C,10,201,8,2,1,3,1,1,,0
C,10,202,8,6,2,,,,,0
C,11,101,6,,1,2,1,2,,0
C,11,102,7,5,2,,,,,0
C,11,201,8,1,2,2,1,2,,0
C,11,202,8,6,2,,,,,0
C,12,101,7,4,,1,1,1,,0
C,12,102,7,3,3,1,,,,0
C,12,201,7,1,2,2,1,1,,0
C,12,202,7,5,2,,,,,0
C,13,101,8,2,1,3,,2,,0
C,13,102,7,6,1,,,,,0
C,13,201,8,2,3,2,1,,,0
C,13,202,4,4,,,,,,0
C,14,101,7,1,1,2,,3,,0
C,14,102,8,5,3,,,,,0
C,14,201,8,1,2,2,1,2,,0
C,14,202,8,7,1,,,,,0
E,1,101,20,9,4,3,,4,,0
E,1,102,17,11,4,2,,,,0
E,1,201,21,11,3,4,,3,,0
E,1,202,16,11,3,2,,,,0
E,2,101,11,5,1,4,1,,,0
E,2,102,14,11,3,,,,,0
E,2,201,17,10,4,3,,,,0
E,2,202,12,12,,,,,,0
E,3,101,17,8,3,5,,1,,0
E,3,102,24,20,4,,,,,0
E,3,103,13,13,,,,,,0
E,3,201,28,12,6,4,3,3,,0
E,3,202,27,19,5,3,,,,0
E,3,203,12,12,,,,,,0
E,4,101,19,9,3,6,,1,,0
E,4,102,13,10,3,,,,,0
E,4,201,19,9,3,4,1,2,,0
E,4,202,15,11,3,1,,,,0
E,5,101,15,9,1,5,,,,0
E,5,102,9,9,,,,,,0
E,5,201,16,8,1,5,2,,,0
E,5,202,13,9,2,2,,,,0
E,6,101,16,9,3,4,,,,0
E,6,102,13,11,2,,,,,0
E,6,201,25,9,3,8,1,4,,0
E,6,202,15,7,4,4,,,,0
E,6,203,20,17,3,,,,,0
E,7,101,8,2,,3,,3,,0
E,7,102,6,4,2,,,,,0
E,7,201,7,3,1,3,,,,0
E,7,202,6,6,,,,,,0
E,8,101,8,3,2,2,1,,,0
E,8,102,8,8,,,,,,0
E,8,201,7,2,1,4,,,,0
E,8,202,8,7,1,,,,,0
E,9,101,7,2,2,3,,,,0
E,9,102,8,8,,,,,,0
F,1,101,42,16,7,8,2,9,,0
F,1,102,18,12,2,2,2,,,0
F,1,103,16,16,,,,,,0
F,1,201,16,3,3,3,1,6,,0
F,1,202,14,8,3,3,,,,0
F,2,101,17,8,3,2,2,2,,0
F,2,102,14,10,4,,,,,0
F,2,201,17,8,3,2,2,2,,0
F,2,202,13,11,2,,,,,0
F,3,101,15,8,2,2,1,2,,0
F,3,102,18,18,,,,,,0
F,3,201,18,8,3,2,2,3,,0
F,3,202,16,14,2,,,,,0
F,4,101,23,3,4,5,2,9,,0
F,4,102,17,8,3,2,2,2,,0
F,4,201,17,6,2,2,2,5,,0
F,4,202,18,9,3,4,1,1,,0
F,5,101,24,3,6,4,1,10,,0
F,5,102,15,7,3,2,3,,,0
F,5,103,13,13,,,,,,0
F,5,201,32,5,6,4,2,15,,0
F,5,202,16,9,3,3,1,,,0
F,5,203,15,15,,,,,,0
F,6,101,18,8,3,2,2,3,,0
F,6,102,14,12,2,,,,,0
F,6,201,14,4,3,2,,5,,0
F,6,202,14,6,4,2,2,,,0
F,7,101,8,1,1,2,2,2,,0
F,7,102,7,7,,,,,,0
F,7,201,8,2,1,1,2,2,,0
F,7,202,7,5,2,,,,,0
F,8,201,7,3,1,2,1,,,0
F,8,202,7,7,,,,,,0
F,9,101,8,1,3,1,1,2,,0
F,9,102,8,7,1,,,,,0
F,9,201,8,2,1,2,1,2,,0
F,9,202,6,6,,,,,,0
F,10,101,8,,1,2,1,4,,0
F,10,102,8,4,2,2,,,,0
F,10,201,8,,4,1,1,2,,0
F,10,202,8,6,2,,,,,0
F,11,101,7,1,2,1,1,2,,0
F,11,102,7,5,2,,,,,0
F,11,201,7,,,2,2,3,,0
F,11,202,6,1,2,2,,1,,0
